timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Ambient Light-0,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0,bluetooth_le-F1:5F:C5:86:3E:30-Pressure-0,bluetooth_le-F1:5F:C5:86:3E:30-Temperature-1
1637330740263,,,,,33.76936340332031
1637330740265,,,95.20782470703125,0.9866945919448171,
1637330740266,275.2179175532079,,,,
1637330740354,,0.0,,,
1637330740399,,,95.39993286132812,,33.751556396484375
1637330740400,,,,0.9864156192654361,
1637330740445,311.13957700843696,,,,
1637330740534,,,95.5423583984375,,33.76936340332031
1637330740535,,,,0.9867044557561528,
1637330740536,331.599453730682,,,,
1637330740624,,0.0,,,
1637330740669,,,95.60859680175781,,33.76936340332031
1637330740714,376.3440831270724,,,0.986639926852987,
1637330740804,,,95.86360931396484,,33.787174224853516
1637330740848,,,,0.9866927095380736,
1637330740850,408.52821187382904,,,,
1637330740939,,0.0,,,
1637330740944,,,,,33.787174224853516
1637330740984,,,95.9762191772461,0.9867288517475481,
1637330741030,450.4249516907538,,,,
1637330741074,,,96.08221435546875,,33.82278823852539
1637330741118,,,,0.9866842763558629,
1637330741119,473.3812865196108,,,,
1637330741209,,0.0,,,33.76936340332031
1637330741254,,,96.17494201660156,0.9866919565753762,
1637330741299,481.9102576711703,,,,
1637330741344,,,96.28755187988281,,33.76936340332031
1637330741388,,,,0.9866842763558629,
1637330741390,503.6710442683231,,,,
1637330741479,,0.0,,,33.76936340332031
1637330741480,,,96.37035369873047,,
1637330741481,,,,0.9864857200925626,
1637330741524,530.6427789294166,,,,
1637330741615,,,,,33.76936340332031
1637330741616,,,96.49290466308594,0.9866656781772375,
1637330741659,539.8496381892382,,,,
1637330741704,,0.0,,,
1637330741748,,,,,33.80498123168945
1637330741749,,,96.60221099853516,,
1637330741750,,,,0.9866650005108099,
1637330741794,553.8694763975475,,,,
1637330741883,,,,,33.751556396484375
1637330741884,,,96.6750717163086,0.9866863846514156,
1637330741885,560.9755934454873,,,,
1637330742019,,0.0,96.73468017578125,,33.84059524536133
1637330742020,,,,0.9867083711621792,
1637330742064,568.1470334891222,,,,
1637330742154,,,96.78104400634766,0.9867192138250216,33.80498123168945
1637330742155,575.3845976564311,,,,
1637330742289,,0.0,,,
1637330742290,,,96.6982421875,0.9866866858364945,33.751556396484375
1637330742334,568.1470334891222,,,,
