timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Accelerometer X-0,bluetooth_le-F1:5F:C5:86:3E:30-Accelerometer Y-0,bluetooth_le-F1:5F:C5:86:3E:30-Accelerometer Z-0,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0,bluetooth_le-F1:5F:C5:86:3E:30-Temperature-1
1637761309348,,,,,79.97906494140625,
1637761309349,54.58290336470751,,,,,
1637761309437,,0.335693359375,-9.495849609375,-2.63427734375,,28.266769409179688
1637761309439,54.58290336470751,,,,79.9161376953125,
1637761309572,,0.341796875,-9.50439453125,-2.630615234375,,
1637761309573,,,,,80.03536987304688,28.266769409179688
1637761309574,54.58290336470751,,,,,
1637761309662,,0.343017578125,-9.4970703125,-2.628173828125,,28.231155395507812
1637761309663,,,,,79.93269348144531,
1637761309664,54.58290336470751,,,,,
1637761309752,,0.33935546875,-9.495849609375,-2.633056640625,,28.24896240234375
1637761309753,,,,,79.9658203125,
1637761309754,55.670102654918374,,,,,
1637761309933,,0.343017578125,-9.49462890625,-2.63427734375,,28.266769409179688
1637761309934,,,,,79.98568725585938,
1637761309935,55.670102654918374,,,,,
1637761309977,,0.33935546875,-9.501953125,-2.63916015625,,28.266769409179688
1637761309978,,,,,79.90619659423828,
1637761310023,54.58290336470751,,,,,
1637761310113,,0.33447265625,-9.5068359375,-2.64404296875,,
1637761310114,,,,,79.96913146972656,28.24896240234375
1637761310115,54.58290336470751,,,,,
1637761310202,,0.3369140625,-9.4970703125,-2.63916015625,,
1637761310203,,,,,,28.28458023071289
1637761310247,,,,,80.02543640136719,
1637761310248,54.58290336470751,,,,,
1637761310337,,0.343017578125,-9.500732421875,-2.62939453125,,
1637761310338,,,,,,28.266769409179688
1637761310339,54.58290336470751,,,,79.98899841308594,
1637761310429,,0.338134765625,-9.49462890625,-2.640380859375,79.9923095703125,28.266769409179688
1637761310430,54.58290336470751,,,,,
1637761310562,,0.33935546875,-9.49951171875,-2.63671875,,
1637761310563,,,,,79.96913146972656,28.231155395507812
1637761310565,54.58290336470751,,,,,
1637761310653,,0.338134765625,-9.50927734375,-2.637939453125,,
1637761310654,,,,,,28.231155395507812
1637761310655,,,,,80.02543640136719,
1637761310656,54.58290336470751,,,,,
1637761310742,,0.343017578125,-9.501953125,-2.6416015625,,
1637761310743,,,,,,28.266769409179688
1637761310744,,,,,80.02212524414062,
1637761310745,54.58290336470751,,,,,
1637761310878,,0.343017578125,-9.495849609375,-2.630615234375,,
1637761310879,,,,,,28.24896240234375
1637761310880,,,,,80.03868103027344,
1637761310881,54.58290336470751,,,,,
1637761310967,,0.340576171875,-9.49462890625,-2.626953125,,
1637761310968,,,,,79.97574615478516,28.266769409179688
1637761310969,53.49794028725878,,,,,
1637761311057,,0.3466796875,-9.498291015625,-2.63427734375,,
1637761311058,,,,,,28.24896240234375
1637761311102,,,,,79.97244262695312,
1637761311103,54.58290336470751,,,,,
1637761311192,,0.330810546875,-9.500732421875,-2.635498046875,,28.28458023071289
1637761311193,,,,,79.96913146972656,
1637761311194,54.58290336470751,,,,,
1637761311282,,0.33447265625,-9.49462890625,-2.633056640625,,28.28458023071289
1637761311283,,,,,80.08174133300781,
1637761311284,54.58290336470751,,,,,
1637761311417,,0.350341796875,-9.49462890625,-2.635498046875,,
1637761311418,,,,,80.03536987304688,28.28458023071289
1637761311419,55.670102654918374,,,,,
1637761311507,,0.338134765625,-9.500732421875,-2.633056640625,,
1637761311508,,,,,,28.28458023071289
1637761311552,,,,,80.0419921875,
1637761311553,55.670102654918374,,,,,
1637761311597,,0.3466796875,-9.500732421875,-2.62939453125,,
1637761311598,,,,,80.03868103027344,28.320194244384766
1637761311642,54.58290336470751,,,,,
1637761311732,,0.338134765625,-9.49462890625,-2.6220703125,,
1637761311733,,,,,80.0916748046875,28.28458023071289
1637761311734,54.58290336470751,,,,,
1637761311823,,0.340576171875,,,,
1637761311824,,,-9.490966796875,-2.62939453125,,28.24896240234375
1637761311867,,,,,80.0916748046875,
1637761311868,54.58290336470751,,,,,
1637761311957,,0.33935546875,-9.50439453125,-2.637939453125,,28.28458023071289
1637761311958,,,,,80.06849670410156,
1637761311959,54.58290336470751,,,,,
1637761312047,,0.34912109375,-9.503173828125,-2.635498046875,,
1637761312048,,,,,80.06517028808594,28.28458023071289
1637761312049,53.49794028725878,,,,,
1637761312182,,0.33935546875,-9.501953125,-2.625732421875,,28.28458023071289
1637761312183,,,,,80.13804626464844,
1637761312184,54.58290336470751,,,,,
1637761312272,,0.343017578125,-9.500732421875,-2.63916015625,,
1637761312273,,,,,80.03868103027344,28.28458023071289
1637761312274,53.49794028725878,,,,,
1637761312366,,0.34423828125,-9.500732421875,-2.63916015625,,28.28458023071289
1637761312367,53.49794028725878,,,,80.13804626464844,
1637761312497,,0.330810546875,-9.49462890625,-2.63671875,,28.28458023071289
1637761312498,,,,,80.10823059082031,
1637761312499,53.49794028725878,,,,,
1637761312588,,0.34423828125,-9.49951171875,-2.63427734375,,
1637761312589,,,,,,28.28458023071289
1637761312590,,,,,80.10491943359375,
1637761312591,53.49794028725878,,,,,
1637761312677,,0.3466796875,-9.501953125,-2.63671875,,28.28458023071289
1637761312722,,,,,80.15129089355469,
1637761312723,54.58290336470751,,,,,
1637761312813,,0.34423828125,,,,
1637761312814,,,-9.4970703125,-2.62939453125,,28.266769409179688
1637761312857,,,,,80.07843017578125,
1637761312858,53.49794028725878,,,,,
1637761312902,,0.340576171875,-9.493408203125,-2.6318359375,,
1637761312903,,,,,80.09498596191406,28.266769409179688
1637761312947,53.49794028725878,,,,,
1637761313037,,0.33935546875,,,,
1637761313038,,,-9.50439453125,-2.635498046875,80.07843017578125,28.231155395507812
1637761313039,53.49794028725878,,,,,
1637761313128,,0.34423828125,-9.495849609375,-2.623291015625,,
1637761313129,,,,,,28.266769409179688
1637761313172,,,,,80.14797973632812,
1637761313173,52.41520873637466,,,,,
1637761313262,,0.352783203125,-9.498291015625,-2.645263671875,,28.266769409179688
1637761313263,,,,,80.16122436523438,
1637761313264,52.41520873637466,,,,,
1637761313354,,0.335693359375,-9.4970703125,-2.6318359375,,
1637761313355,,,,,,28.24896240234375
1637761313356,,,,,80.18110656738281,
1637761313358,52.41520873637466,,,,,
1637761313488,,0.347900390625,-9.503173828125,-2.640380859375,,28.266769409179688
1637761313489,,,,,80.1711654663086,
1637761313490,53.49794028725878,,,,,
1637761313578,,0.335693359375,-9.493408203125,-2.63671875,,28.28458023071289
1637761313579,,,,,80.22084045410156,
1637761313580,52.41520873637466,,,,,
1637761313667,,0.347900390625,-9.51171875,-2.63671875,,
1637761313668,,,,,80.24071502685547,28.302387237548828
1637761313669,52.41520873637466,,,,,
1637761313802,,0.347900390625,-9.49951171875,-2.6318359375,,28.28458023071289
1637761313803,,,,,80.10491943359375,
1637761313804,53.49794028725878,,,,,
1637761313892,,0.343017578125,-9.48974609375,-2.6318359375,,28.24896240234375
1637761313893,,,,,80.0883560180664,
1637761313894,53.49794028725878,,,,,
1637761313983,,0.338134765625,-9.498291015625,-2.630615234375,,
1637761313984,,,,,,28.24896240234375
1637761314072,,,,,80.15129089355469,
1637761314073,53.49794028725878,,,,,
1637761314117,,0.345458984375,-9.4921875,-2.633056640625,,28.302387237548828
1637761314118,,,,,80.20427703857422,
1637761314163,53.49794028725878,,,,,
1637761314253,,0.33203125,-9.495849609375,-2.62939453125,,
1637761314254,,,,,,28.28458023071289
1637761314255,,,,,80.15460205078125,
1637761314256,53.49794028725878,,,,,
1637761314342,,0.3369140625,-9.495849609375,-2.63916015625,,
1637761314343,,,,,,28.231155395507812
1637761314387,,,,,80.22084045410156,
1637761314434,53.49794028725878,,,,,
1637761314478,,0.3466796875,-9.498291015625,-2.63671875,80.14797973632812,28.213348388671875
1637761314522,53.49794028725878,,,,,
1637761314613,,0.3369140625,,,,
1637761314615,,,-9.49462890625,-2.6220703125,80.20096588134766,28.24896240234375
1637761314616,53.49794028725878,,,,,
1637761314702,,0.3369140625,-9.493408203125,-2.626953125,,28.231155395507812
1637761314747,,,,,80.16453552246094,
1637761314748,54.58290336470751,,,,,
1637761314837,,0.338134765625,-9.4873046875,-2.6318359375,,
1637761314838,,,,,80.23408508300781,28.266769409179688
1637761314839,53.49794028725878,,,,,
1637761314927,,0.33935546875,-9.501953125,-2.62939453125,,
1637761314928,,,,,80.11817169189453,28.213348388671875
1637761314929,53.49794028725878,,,,,
1637761315109,,0.338134765625,-9.50439453125,-2.633056640625,,28.231155395507812
1637761315110,,,,,80.11486053466797,
1637761315111,53.49794028725878,,,,,
1637761315153,,0.345458984375,-9.495849609375,-2.64892578125,,28.24896240234375
1637761315154,,,,,80.14797973632812,
1637761315197,53.49794028725878,,,,,
1637761315288,,0.34423828125,-9.503173828125,-2.640380859375,,
1637761315289,,,,,,28.24896240234375
1637761315290,,,,,80.13473510742188,
1637761315291,53.49794028725878,,,,,
1637761315422,,0.340576171875,-9.49951171875,-2.63916015625,,
1637761315423,,,,,80.1678466796875,28.266769409179688
1637761315468,53.49794028725878,,,,,
1637761315513,,0.341796875,,,,
1637761315514,,,-9.50927734375,-2.6318359375,,
1637761315515,,,,,80.19766235351562,28.231155395507812
1637761315557,54.58290336470751,,,,,
1637761315648,,0.33447265625,-9.50439453125,-2.63427734375,,28.24896240234375
1637761315649,54.58290336470751,,,,80.1877212524414,
1637761315738,,0.350341796875,-9.4970703125,-2.6318359375,,
1637761315739,,,,,,28.213348388671875
1637761315740,,,,,80.12810516357422,
1637761315741,54.58290336470751,,,,,
1637761315872,,0.33447265625,,,,
1637761315873,,,-9.49951171875,-2.6318359375,,28.231155395507812
1637761315874,54.58290336470751,,,,80.15129089355469,
1637761315963,,0.340576171875,-9.493408203125,-2.635498046875,,28.231155395507812
1637761315964,54.58290336470751,,,,80.21090698242188,
1637761316054,,0.340576171875,-9.503173828125,-2.63427734375,,
1637761316055,,,,,,28.213348388671875
1637761316056,,,,,80.13141632080078,
1637761316058,53.49794028725878,,,,,
1637761316188,,0.33447265625,-9.501953125,-2.633056640625,,
1637761316189,,,,,,28.213348388671875
