relative_time,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0
57872,1197.4248951544064,
57959,,125.70842742919922
57960,1202.1505872527102,
58050,1211.6631312201926,125.75479125976562
58185,1226.0870429473534,125.80448150634766
58276,1245.6140871890423,125.75479125976562
58364,,125.84420776367188
58365,1265.4867577043067,
58456,,125.79784393310547
58500,1290.8277394594274,
58590,1316.742037411725,125.82765197753906
58679,,125.86078643798828
58680,1343.2495154932474,
58770,,125.83759307861328
58815,1364.8961400384774,
58904,,125.8475341796875
58905,1381.3954277281036,
58994,,125.86078643798828
58995,1392.5233489718019,
59084,,125.8773422241211
59085,1403.755896041906,
59220,1403.755896041906,125.82103729248047
59309,,125.78460693359375
59310,1403.755896041906,
59399,,125.81109619140625
59402,1403.755896041906,
59534,,125.77796936035156
59535,1398.1264996103264,
59625,1381.3954277281036,125.78460693359375
59714,,125.75148010253906
59715,1370.3702917151372,
59850,,125.77796936035156
59851,1348.623918108385,
59939,,125.73159790039062
59940,1327.272750287017,
60029,,125.72830200195312
60030,1306.3063175296468,
60165,1290.8277394594274,125.63224792480469
60254,,125.73159790039062
60255,1280.6235457969112,
60345,1270.5099482745459,125.61569213867188
60479,,125.6454849243164
60480,1265.4867577043067,
60570,1265.4867577043067,125.6488037109375
60659,,125.72830200195312
60660,1260.485705613473,
60750,,125.73159790039062
60794,1260.485705613473,
60886,,125.80448150634766
60887,1260.485705613473,
60975,1260.485705613473,125.76473236083984
61065,1265.4867577043067,125.79784393310547
61199,,125.77467346191406
61200,1275.5555251439418,
61289,,125.83759307861328
61290,1290.8277394594274,
61380,1301.1236035223337,125.82435607910156
61515,1321.9953812312326,125.88066101074219
61605,1337.899640238259,125.8773422241211
61695,1364.8961400384774,125.92700958251953
61829,,125.92039489746094
61830,1375.8700254619196,
61920,,125.8938980102539
61965,1386.946354958131,
62009,,125.86078643798828
62010,1392.5233489718019,
62144,,125.8475341796875
62145,1386.946354958131,
62235,1381.3954277281036,125.82765197753906
