timestamp,bluetooth_le-CE:C9:CF:DE:90:5A-Humidity-1
1636222748719,0.392156862745097
1636222748764,
1636222748854,
1636222748944,1.5686274509804
1636222749034,
1636222749169,0.392156862745097
1636222749170,
1636222749259,
1636222749349,1.17647058823529
1636222749484,
1636222749574,1.17647058823529
1636222749575,
1636222749709,
1636222749799,1.17647058823529
1636222749889,
1636222749979,1.17647058823529
1636222750114,
1636222750204,0.392156862745097
1636222750206,
1636222750294,
1636222750429,1.17647058823529
1636222750518,
1636222750609,0.784313725490193
1636222750744,
1636222750834,1.17647058823529
1636222750835,
1636222750969,
1636222751059,0.392156862745097
1636222751149,
1636222751239,1.5686274509804
1636222751374,
1636222751464,0.784313725490193
1636222751599,
1636222751689,0.784313725490193
1636222751779,
1636222751869,0.784313725490193
1636222752003,
1636222752094,0.784313725490193
1636222752229,
1636222752319,0.784313725490193
1636222752409,
1636222752498,0.784313725490193
1636222752499,
1636222752633,
1636222752723,0.784313725490193
1636222752724,
1636222752858,
1636222752948,1.17647058823529
1636222752949,
1636222753039,
1636222753173,0.392156862745097
1636222753174,
1636222753264,
1636222753354,1.17647058823529
1636222753444,
1636222753579,1.17647058823529
1636222753668,
1636222753804,0.784313725490193
1636222753894,
1636222753984,0.784313725490193
1636222753985,
1636222754119,
1636222754209,0.784313725490193
1636222754210,
1636222754299,
1636222754434,0.784313725490193
1636222754478,
1636222754524,
1636222754614,1.17647058823529
1636222754615,
1636222754749,
1636222754839,1.17647058823529
1636222754929,
1636222755063,0.784313725490193
1636222755065,
1636222755154,
1636222755244,0.784313725490193
1636222755379,
1636222755469,0.784313725490193
1636222755470,
1636222755559,
1636222755694,0.784313725490193
1636222755784,
1636222755874,0.784313725490193
1636222756009,
1636222756099,0.784313725490193
1636222756189,
1636222756324,0.784313725490193
1636222756414,
1636222756503,0.784313725490193
1636222756504,
1636222756639,
1636222756729,0.784313725490193
1636222756819,
1636222756954,0.784313725490193
1636222757044,
1636222757134,1.17647058823529
1636222757269,
1636222757404,0.784313725490193
1636222757449,
1636222757584,0.784313725490193
1636222757585,
1636222757719,
1636222757766,0.784313725490193
1636222757767,
1636222757899,
1636222757989,1.17647058823529
1636222757990,
1636222758078,
1636222758214,0.784313725490193
1636222758304,
1636222758394,0.784313725490193
1636222758529,
1636222758619,1.17647058823529
1636222758709,
1636222758844,0.784313725490193
1636222758934,
1636222759024,0.784313725490193
1636222759159,
1636222759248,0.784313725490193
1636222759249,
1636222759339,
1636222759474,0.392156862745097
1636222759563,
1636222759654,0.784313725490193
1636222759789,
1636222759879,0.784313725490193
1636222759971,
1636222760104,1.5686274509804
1636222760239,
1636222760284,0.392156862745097
1636222760418,
1636222760509,1.17647058823529
1636222760644,
1636222760689,1.5686274509804
1636222760734,
1636222760824,
1636222760914,1.17647058823529
1636222761049,
1636222761139,0.784313725490193
1636222761229,
1636222761319,0.784313725490193
1636222761364,
1636222761454,
1636222761544,0.784313725490193
1636222761545,
1636222761679,
1636222761769,1.17647058823529
1636222761859,
1636222761994,1.17647058823529
1636222762084,
1636222762174,1.17647058823529
1636222762309,
1636222762398,1.5686274509804
1636222762399,
1636222762489,
1636222762579,0.392156862745097
1636222762624,
1636222762714,
1636222762804,1.5686274509804
1636222762939,
1636222763029,0.784313725490193
1636222763119,
1636222763209,1.5686274509804
1636222763254,
1636222763344,
1636222763434,1.17647058823529
1636222763569,
1636222763659,1.5686274509804
1636222763749,
1636222763838,0.784313725490193
1636222763883,
1636222763974,
1636222764063,1.5686274509804
1636222764064,
1636222764199,
1636222764289,1.17647058823529
1636222764290,
1636222764379,
1636222764469,0.784313725490193
1636222764514,
1636222764604,
1636222764694,1.5686274509804
1636222764829,
1636222764919,1.5686274509804
1636222765009,
1636222765099,1.9607843137255
1636222765143,
1636222765234,
1636222765324,4.31372549019608
1636222765459,
1636222765549,33.7254901960784
1636222765639,
1636222765729,100
1636222765775,
1636222765864,
1636222765954,100
1636222766089,
1636222766179,100
1636222766269,
1636222766359,100
1636222766404,
1636222766494,
1636222766584,100
1636222766719,
1636222766809,100
1636222766899,
1636222766989,100
1636222767034,
1636222767124,
1636222767214,100
1636222767349,
1636222767439,100
1636222767440,
1636222767529,
1636222767619,100
1636222767664,
1636222767754,
1636222767844,100
1636222767979,
1636222768069,100
1636222768159,
1636222768249,100
1636222768294,
1636222768384,
1636222768474,100
1636222768475,
1636222768610,
1636222768700,100
1636222768789,
1636222768879,100
1636222768924,
1636222769014,
1636222769104,100
1636222769105,
1636222769239,
1636222769329,100
1636222769330,
1636222769419,
1636222769509,100
1636222769554,
1636222769644,
1636222769734,100
1636222769869,
1636222769959,100
1636222770049,
1636222770184,100
1636222770319,
1636222770364,100
1636222770499,
1636222770589,100
1636222770590,
1636222770679,
1636222770769,100
1636222770814,
1636222770904,
1636222770994,100
1636222771129,
1636222771219,100
1636222771220,
1636222771309,
1636222771399,100
1636222771444,
1636222771534,
1636222771624,100
1636222771758,
1636222771849,100
1636222771939,
1636222772029,100
1636222772074,
1636222772164,
1636222772257,100
1636222772258,
1636222772389,
1636222772479,100
1636222772480,
1636222772569,
1636222772659,100
1636222772704,
1636222772794,
1636222772884,100
1636222773019,
1636222773109,100
1636222773199,
1636222773290,100
1636222773334,
1636222773424,
1636222773514,100
1636222773649,
1636222773739,100
1636222773829,
1636222773919,100
1636222773964,
1636222774054,
1636222774144,100
1636222774279,
1636222774369,100
1636222774459,
1636222774549,100
1636222774639,
1636222774685,
1636222774773,100
1636222774774,
1636222774909,
1636222774999,100
1636222775089,
1636222775179,100
1636222775224,
1636222775314,
1636222775404,100
1636222775539,
1636222775629,100
1636222775719,
1636222775854,100
1636222775855,
1636222775944,
1636222776034,100
1636222776038,
1636222776169,
1636222776259,100
1636222776349,
1636222776484,100
1636222776485,
1636222776574,
1636222776664,100
1636222776665,
1636222776799,
1636222776889,100
1636222776891,
1636222776979,
1636222777069,100
1636222777114,
1636222777204,
1636222777294,100
1636222777429,
1636222777564,9.80392156862744
1636222777565,
1636222777609,
1636222777700,1.5686274509804
1636222777744,
1636222777834,
1636222777924,1.17647058823529
1636222777926,
1636222778059,
1636222778149,1.5686274509804
1636222778239,
1636222778329,1.17647058823529
1636222778374,
1636222778464,
1636222778554,1.17647058823529
1636222778689,
1636222778779,0.784313725490193
1636222778869,
1636222779004,0.784313725490193
1636222779094,
1636222779184,0.784313725490193
1636222779319,
1636222779409,0.784313725490193
1636222779410,
1636222779499,
1636222779589,0.784313725490193
1636222779634,
1636222779724,
1636222779816,0.784313725490193
1636222779949,
1636222780039,1.17647058823529
1636222780129,
1636222780218,1.17647058823529
1636222780264,
1636222780354,
1636222780534,0.392156862745097
1636222780579,
1636222780669,0.392156862745097
1636222780804,
1636222780849,1.17647058823529
1636222780894,
1636222780984,
1636222781074,1.9607843137255
1636222781209,
1636222781299,1.17647058823529
1636222781389,
1636222781480,0.392156862745097
1636222781524,
1636222781617,
1636222781704,0.392156862745097
1636222781839,
1636222781929,0.784313725490193
1636222782019,
1636222782154,1.5686274509804
1636222782155,
1636222782244,
1636222782334,1.5686274509804
1636222782469,
1636222782559,1.17647058823529
1636222782649,
1636222782740,0.784313725490193
1636222782784,
1636222782874,
1636222782964,1.17647058823529
1636222783099,
1636222783189,1.17647058823529
1636222783190,
1636222783279,
1636222783414,0.784313725490193
1636222783504,
1636222783594,0.784313725490193
1636222783595,
1636222783729,
1636222783819,0.784313725490193
1636222783820,
1636222783909,
1636222783999,0.392156862745097
1636222784044,
1636222784134,
1636222784224,1.17647058823529
1636222784314,
1636222784449,0.784313725490193
1636222784539,
1636222784629,0.784313725490193
1636222784674,
1636222784764,
1636222784854,0.784313725490193
1636222784944,
1636222785079,1.17647058823529
1636222785169,
1636222785260,1.17647058823529
1636222785304,
1636222785394,
1636222785484,1.5686274509804
1636222785574,
1636222785709,1.9607843137255
1636222785799,
1636222785888,5.49019607843138
1636222785934,
1636222786024,
1636222786113,70.5882352941177
1636222786114,
1636222786204,
1636222786339,100
1636222786429,
1636222786519,100
1636222786564,
1636222786654,
1636222786746,100
1636222786747,
1636222786834,
1636222786969,100
1636222786970,
1636222787059,
1636222787149,100
1636222787194,
1636222787284,
1636222787375,100
1636222787554,
1636222787599,100
1636222787689,
1636222787780,100
1636222787824,
1636222787914,
1636222788004,100
1636222788139,
1636222788229,100
1636222788319,
1636222788409,100
1636222788454,
1636222788544,
1636222788634,100
1636222788635,
1636222788769,
1636222788861,100
1636222788862,
1636222788949,
1636222789039,100
1636222789084,
1636222789174,
1636222789264,100
1636222789354,
1636222789489,100
1636222789490,
1636222789579,
1636222789669,100
1636222789804,
1636222789894,100
1636222790029,
1636222790119,100
1636222790209,
1636222790299,100
1636222790344,
1636222790434,
1636222790524,100
1636222790527,
1636222790659,
1636222790749,100
1636222790750,
1636222790840,
1636222790929,100
1636222790930,
1636222791064,
1636222791154,100
1636222791289,
1636222791379,100
1636222791381,
1636222791469,
1636222791559,100
1636222791563,
1636222791694,
1636222791784,100
1636222791919,
1636222792009,100
1636222792010,
1636222792099,
1636222792189,100
1636222792234,
1636222792324,
1636222792414,100
1636222792549,
1636222792639,100
1636222792729,
1636222792819,100
1636222792864,
1636222792954,
1636222793044,100
1636222793179,
1636222793269,100
1636222793270,
1636222793359,
1636222793449,100
1636222793494,
1636222793584,
1636222793674,100
1636222793675,
1636222793809,
1636222793899,100
1636222793989,
1636222794079,100
1636222794125,
1636222794214,
1636222794304,80.3921568627451
1636222794484,
1636222794529,2.35294117647059
1636222794530,
1636222794619,
1636222794709,1.9607843137255
1636222794754,
1636222794844,
1636222794934,3.52941176470588
1636222795069,
1636222795159,1.17647058823529
1636222795249,
1636222795339,0.784313725490193
1636222795384,
1636222795474,
1636222795564,1.17647058823529
1636222795699,
1636222795789,1.5686274509804
1636222795790,
1636222795879,
1636222795969,17.6470588235294
1636222796014,
1636222796104,
1636222796194,73.7254901960784
1636222796195,
1636222796329,
1636222796419,100
1636222796509,
1636222796644,100
1636222796645,
1636222796734,
1636222796824,19.2156862745098
1636222796825,
1636222796959,
